instance,number_of_cities,number_of_runs,initial_temperature,minimum_temperature,cooling_rate,max_iterations,run,operator,route_seed,sa_seed,initial_cost,best_cost,improvement_percentage,execution_time,best_route
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,5,create_insertion_neighbor,ROUTE-05,SA-05,14304.222063416333,5142.918189107672,64.04615248346217,0.0423090999975102,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 12, 8, 3, 19, 7, 23, 11, 18, 1, 17, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,6,create_insertion_neighbor,ROUTE-06,SA-06,13370.923812618563,5922.598354170841,55.70539151093287,0.0324016000085976,"[0, 24, 9, 6, 5, 15, 20, 22, 21, 12, 8, 14, 4, 2, 13, 10, 23, 18, 11, 17, 1, 3, 19, 7, 16]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,7,create_insertion_neighbor,ROUTE-07,SA-07,11678.256544545548,5444.177975809578,53.38192858631506,0.019639200007077307,"[0, 10, 16, 21, 22, 23, 11, 18, 1, 17, 7, 19, 3, 12, 8, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,8,create_insertion_neighbor,ROUTE-08,SA-08,16001.49995317268,5594.930953847601,65.03495940867549,0.017618800004129298,"[0, 23, 18, 11, 7, 21, 22, 14, 4, 2, 15, 5, 6, 9, 20, 16, 19, 3, 12, 8, 1, 17, 10, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,9,create_insertion_neighbor,ROUTE-09,SA-09,13508.691827789806,5221.399404164546,61.34785313983409,0.016591799998423085,"[0, 24, 6, 9, 13, 10, 16, 21, 22, 20, 5, 15, 2, 4, 14, 8, 12, 3, 19, 7, 17, 1, 18, 11, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,10,create_insertion_neighbor,ROUTE-10,SA-10,12710.0957911338,5449.357827320574,57.125753284079174,0.01820390000648331,"[0, 24, 13, 2, 4, 14, 22, 21, 16, 7, 23, 18, 11, 17, 1, 8, 12, 19, 3, 20, 15, 5, 6, 9, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,11,create_insertion_neighbor,ROUTE-11,SA-11,13158.226307881225,4799.222373253414,63.52682906526025,0.019364599997061305,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,12,create_insertion_neighbor,ROUTE-12,SA-12,15132.562121689585,5278.665863806049,65.11717036839315,0.016738999998779036,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 17, 1, 18, 11, 23, 7, 19, 3, 8, 12, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,13,create_insertion_neighbor,ROUTE-13,SA-13,14057.996214985871,4904.651230289564,65.11130636767999,0.019155900008627214,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 12, 8, 3, 19, 17, 1, 18, 11, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,14,create_insertion_neighbor,ROUTE-14,SA-14,15141.72096612274,4953.007517763509,67.28900546480088,0.018410799995763227,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 16, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,15,create_insertion_neighbor,ROUTE-15,SA-15,15170.330946441485,4994.780926657353,67.07533313352678,0.016922700000577606,"[0, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 4, 14, 22, 21, 2, 20, 15, 5, 6, 9, 13, 24, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,16,create_insertion_neighbor,ROUTE-16,SA-16,13599.889610562397,5559.602133063423,59.120240735295816,0.018183899999712594,"[0, 19, 3, 12, 8, 14, 4, 22, 21, 16, 7, 17, 1, 18, 11, 23, 10, 9, 6, 5, 15, 2, 20, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,17,create_insertion_neighbor,ROUTE-17,SA-17,12282.191259298223,5051.206570062967,58.8737346339648,0.020667899996624328,"[0, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 20, 9, 6, 5, 15, 2, 4, 14, 22, 21, 10, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,18,create_insertion_neighbor,ROUTE-18,SA-18,14451.401071653247,4911.358979722879,66.01465176025998,0.018920400005299598,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 7, 23, 18, 11, 17, 1, 8, 12, 3, 19, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,19,create_insertion_neighbor,ROUTE-19,SA-19,14629.127937105004,4982.209207005312,65.94322485642809,0.017300300009083003,"[0, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24, 10, 7, 19, 3, 12, 8, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,20,create_insertion_neighbor,ROUTE-20,SA-20,14223.023728098568,5688.780498615978,60.00301618440389,0.017245199996978045,"[0, 10, 20, 16, 7, 11, 18, 23, 24, 13, 9, 6, 5, 15, 2, 4, 14, 22, 21, 12, 8, 1, 17, 3, 19]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,21,create_insertion_neighbor,ROUTE-21,SA-21,14655.898869148887,5570.263308144186,61.99302848718641,0.01698489999398589,"[0, 24, 6, 9, 13, 10, 16, 19, 3, 12, 8, 14, 4, 20, 5, 15, 2, 22, 21, 7, 17, 1, 18, 11, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,22,create_insertion_neighbor,ROUTE-22,SA-22,12335.140926516411,5385.234837421824,56.34233228867798,0.01658349999343045,"[0, 10, 16, 19, 3, 17, 1, 8, 12, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24, 23, 18, 11, 7]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,23,create_insertion_neighbor,ROUTE-23,SA-23,10876.948191513424,5348.711458437094,50.8252557219097,0.021426299994345754,"[0, 24, 13, 20, 2, 15, 5, 6, 9, 10, 16, 7, 19, 3, 21, 4, 14, 22, 12, 8, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,24,create_insertion_neighbor,ROUTE-24,SA-24,14087.34012433054,5002.1667077061575,64.49175881636583,0.03670339999371208,"[0, 7, 19, 3, 12, 8, 1, 17, 11, 18, 23, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,25,create_insertion_neighbor,ROUTE-25,SA-25,12270.715151447632,5739.2335090991855,53.22820684642735,0.025781000003917143,"[0, 24, 13, 20, 2, 15, 5, 6, 9, 10, 7, 17, 1, 18, 11, 23, 16, 21, 22, 4, 14, 8, 12, 3, 19]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,26,create_insertion_neighbor,ROUTE-26,SA-26,16118.806609842457,5583.086530087035,65.36290393435273,0.018761100000119768,"[0, 23, 18, 11, 7, 16, 10, 9, 6, 5, 15, 2, 4, 14, 8, 12, 3, 1, 17, 19, 21, 22, 20, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,27,create_insertion_neighbor,ROUTE-27,SA-27,13574.998642429402,5764.756332392797,57.5340190873041,0.01670199999352917,"[0, 10, 20, 2, 15, 5, 6, 9, 13, 24, 11, 18, 23, 16, 21, 22, 4, 14, 12, 8, 1, 17, 3, 19, 7]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,28,create_insertion_neighbor,ROUTE-28,SA-28,13749.15373950684,5566.023883099991,59.51733474979941,0.018018699993263,"[0, 10, 16, 22, 4, 14, 3, 19, 11, 18, 23, 7, 17, 1, 8, 12, 21, 20, 2, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,29,create_insertion_neighbor,ROUTE-29,SA-29,13347.93067209286,5413.129414690884,59.44592800434329,0.01687099999981001,"[0, 10, 16, 19, 3, 12, 8, 14, 4, 22, 21, 20, 2, 15, 5, 6, 9, 13, 24, 23, 11, 18, 1, 17, 7]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,30,create_insertion_neighbor,ROUTE-30,SA-30,14449.7143242634,5142.918189107672,64.40816701495694,0.017062600003555417,"[0, 10, 16, 17, 1, 18, 11, 23, 7, 19, 3, 8, 12, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,1,create_two_opt_neighbor,ROUTE-01,SA-01,12625.148729249478,4904.6512302895635,61.15173503717506,0.023307600000407547,"[0, 10, 16, 7, 23, 11, 18, 1, 17, 19, 3, 8, 12, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,2,create_two_opt_neighbor,ROUTE-02,SA-02,14396.908468691281,4772.912493932169,66.84765688194975,0.025169200001982972,"[0, 23, 18, 11, 7, 17, 1, 8, 12, 3, 19, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 10, 24]"
